Desplacment,Force
0.0,0.0
2.2651686458794066e-07,0.022651686360022683
1.1599630731086471e-06,0.11599629404724912
3.3228603438547086e-06,0.3322857225932602
7.113634167175746e-06,0.7113603575605311
1.2522170883054736e-05,1.252200401960345
1.9120315007648025e-05,1.911972099192594
2.6276570992304654e-05,2.6275029277479818
3.340979433644187e-05,3.340662549912048
4.01645843683974e-05,4.015907900894503
4.642214992857421e-05,4.641365016465407
5.2178252132482706e-05,5.216618306300737
5.739425782536953e-05,5.73781963863934
6.193401516652451e-05,6.191383419347894
6.56489016937258e-05,6.562486829690236
6.85124356213488e-05,6.848511922210817
7.072583755184919e-05,7.069578817544768
7.269733744353412e-05,7.266470543709784
7.489750867659767e-05,7.4861824509817385
7.766092527668258e-05,7.762114554134036
8.099954434147718e-05,8.095441304956323
8.458004998429262e-05,8.452866848159069
8.781901727563861e-05,8.776150729352498
9.007382218698871e-05,9.001177030027218
9.079610947364727e-05,9.073255370508091
8.961664789871289e-05,8.955309213014653
8.638851050002278e-05,8.63249547314564
8.114349207054594e-05,8.107993630197956
7.409420733518388e-05,7.403065156661751
6.558752467423577e-05,6.552396890566941
5.6013673892398014e-05,5.595011812383165
4.572600665296332e-05,4.566245088439695
3.500152952217015e-05,3.493797375360378
2.4029525659883673e-05,2.396596989131731
1.290477817168481e-05,1.2841222403118444
1.6171811075887266e-06,0.15536253390223623
-1.0048549268959423e-05,-1.0112017990294242
-2.2535563913512335e-05,-2.2598139501054
-3.645426856189204e-05,-3.6513686605870275
-5.241409965810596e-05,-5.246537693788958
-7.076541508602046e-05,-7.079878823817259
-9.144847136945188e-05,-9.144695366382287
-0.00011397380890773562,-11.391150195706441
-0.00013755041170050337,-13.739292783473614
-0.00016114727701190535,-16.085573986399808
-0.00018361141540324753,-18.315021800214552
-0.00020372168745252454,-20.306915290249968
-0.00022032583439961413,-21.948428136472828
-0.000232725339804215,-23.172288918732537
-0.00024091240367420198,-23.9793958549359
-0.00024567179629237653,-24.44822273782599
-0.00024833770359766267,-24.710708471830273
-0.00025028253737677334,-24.902141645171813
-0.00025247886542977113,-25.118272999295936
-0.00025538017748947373,-25.403685638171197
-0.00025907333697876956,-25.766840007209773
-0.0002635609994340567,-26.20788198666437
-0.0002689590992409359,-26.73805018890027
-0.00027544494225602566,-27.374533732856428
-0.0002830257821931199,-28.11774366763657
-0.0002911513637178217,-28.913462720582583
-0.00029860604381743236,-29.642645416510067
-0.0003036424894721678,-30.134824306668207
-0.0003044329009002306,-30.21203166442368
-0.0002996636492036907,-29.73510649476969
-0.0002888726781848383,-28.65600939288445
-0.0002724360394320187,-27.01234551760249
-0.0002511986349816366,-24.888605072564282
-0.0002260544496765189,-22.374186542052513
-0.0001976468757759503,-19.533429151995655
-0.00016628788332474109,-16.397529906874734
-0.00013211431853612428,-12.980173428013053
-9.524887795132145e-05,-9.293629369532768
-5.5891350817731e-05,-5.357876656173723
-1.424117217585664e-05,-1.1928587919862872
2.9613495117138734e-05,3.1923415792129464
7.565146186084469e-05,7.792380806705168
0.00012385386258138002,12.59958902833934
0.0001741628450529145,17.600943703150644
0.00022640762456238128,22.7708124827242
0.0002801300290642464,28.054243346254644
0.0003345626200332757,33.366268852920506
0.00038865797328613245,38.59694628247988
0.0004413090185171732,43.63492276038386
