Desplacment,Force
0.0,0.0
-3.2366612935320054e-07,-0.03236661232351624
-1.0605938386622008e-06,-0.10605936234000787
-1.801288755562673e-06,-0.18012877010055112
-2.271703442779872e-06,-0.22717013274659187
-2.369769258127666e-06,-0.23697668568738656
-2.0913461426295793e-06,-0.20913437413757788
-1.408179264530594e-06,-0.14081768632767933
-1.3944956539047015e-07,-0.013944716413666966
2.0014954150108808e-06,0.2001496372807993
5.271782971856296e-06,0.5271758940669701
9.778750926527464e-06,0.9778584612956487
1.5412764029064703e-05,1.5412105832613692
2.184461396154616e-05,2.184273571835436
2.8603020361723372e-05,2.8598801167728527
3.5296299153608924e-05,3.5288369474547063
4.172506219087761e-05,4.171196244005394
4.783403246198154e-05,4.781429656753047
5.358276570033156e-05,5.3555027391446215
5.8869804089366436e-05,5.883302220047414
6.357202511805245e-05,6.352571195245921
6.750322974990222e-05,6.744778840069329
7.050013897823671e-05,7.043698622342197
7.251666373836269e-05,7.244793960998922
7.366978911652371e-05,7.359773671614797
7.409121652934604e-05,7.401792149259744
7.372082401818015e-05,7.3647528981431565
7.237012930327836e-05,7.229683426652977
6.975719196889944e-05,6.968389693215085
6.567275586676012e-05,6.559946083001154
6.010964008866545e-05,6.003634505191686
5.3200579954276896e-05,5.31272849175283
4.5119276976051143e-05,4.504598193930255
3.6093968002172256e-05,3.6020672965423657
2.6420522383205104e-05,2.6347227346456505
1.637623029837244e-05,1.6302935261623845
6.241732656709798e-06,0.6168437619961203
-3.825238614751881e-06,-0.3898519831860146
-1.380752170334418e-05,-1.3880330838845818
-2.3755135293667327e-05,-2.3825985614805902
-3.377302926221696e-05,-3.383932549054955
-4.392229743849572e-05,-4.398022808627269
-5.42558886884099e-05,-5.430026128701267
-6.491384697940604e-05,-6.493765785873715
-7.629377870515912e-05,-7.628680816842477
-8.873542346734522e-05,-8.868254527326258
-0.0001023284903616129,-10.220847134442497
-0.00011680959712804876,-11.659562840675074
-0.00013142845097560303,-13.109298678390488
-0.0001454449520625233,-14.496483636323575
-0.00015833874760375893,-15.769873037259213
-0.00016980710582172411,-16.90014176606925
-0.00017967340637714462,-17.87063016401238
-0.00018765645500367866,-18.65452537715861
-0.00019327851907491265,-19.20582957354262
-0.0001961663826053623,-19.488766761438
-0.00019632087959840447,-19.503898706642048
-0.00019409219803520484,-19.281030550322086
-0.00019004350210135776,-18.87616095693738
-0.0001847965005894194,-18.351460805743542
-0.00017905079835160955,-17.776890581962558
-0.00017323190711305466,-17.19500145810707
-0.00016750926907630481,-16.622737654432086
-0.00016197258451208847,-16.06906919801045
-0.0001567446386930354,-15.546274616105142
-0.00015213574321864623,-15.085385068666225
-0.00014847938599514508,-14.71974934631611
-0.0001458518657557574,-14.456997322377342
-0.00014381285735315673,-14.253096482117275
-0.0001415407785083058,-14.025888597632184
-0.00013816600973200378,-13.68841172000198
-0.00013290752161191572,-13.162562907993173
-0.0001252094962741148,-12.392760374213083
-0.00011472331059440368,-11.34414180624197
-0.00010121166820935866,-9.992977567737467
-8.429366254444657e-05,-8.30117700124626
-6.326443970133878e-05,-6.198254716935479
-3.753324330746333e-05,-3.6251350775479345
-7.04045828554886e-06,-0.5758565753564878
2.795349166752109e-05,2.923092738674137
6.723525722401142e-05,6.845914005434045
0.00011030168362348678,11.133339221492726
0.0001562823378292017,15.686184024952501
0.0002041336427547574,20.386536019010922
0.0002527305617081993,25.10959136743455
0.0003010616138785479,29.745456298126108
0.0003482329609445488,34.20128240793122
0.0003933815501911033,38.394110238662066
0.0004356542513956387,42.24959687133196
0.00047427495570588087,45.707882539466084
0.0005086993737360641,48.73563071655875
0.0005386434766232763,51.325348122295615
0.0005639748512987624,53.4830473624725
0.0005847689455399735,55.230993292148376
0.0006012377406597844,56.60016943873589
0.0006136645447119194,57.62428986497598
0.0006223835524126442,58.33816709774098
0.0006278240684854817,58.781647787641006
0.0006305928036347486,59.00675697474276
0.0006314883992445382,59.07948813847638
0.0006316041867226563,59.08888820774442
0.0006319278546139121,59.11516114293899
0.0006330910922430665,59.20953954822524
0.0006353029861055916,59.38880758939411
0.000638384296866415,59.638118784639374
0.0006419286686501891,59.924289562473774
0.0006452857245953001,60.19473631900861
0.0006477696508507464,60.39446647777717
0.0006486234458008651,60.46304522965447
0.0006469800951755418,60.298710167122145
0.0006419785130059588,59.79855195016384
0.0006326252062597824,58.8632212755462
0.0006180191702360447,57.40261767317243
0.0005976264473523068,55.36334538479864
0.0005714953759678663,52.7502382463546
0.0005401373402835835,49.61443467792632
0.0005042178660203325,46.02248725160122
0.0004642637087145578,42.02707152102374
0.0004204660460052309,37.64730525009106
0.0003727077317528804,32.871473824856004
0.00032074580333451435,27.675280983019398
0.00026456871837291727,22.057572486859694
0.00020462423922592426,16.063124572160394
0.00014157143304870793,9.757843954438759
7.569762315867656e-05,3.170462965435623
7.45682187631705e-06,-3.6526978944821327
-6.24991852886036e-05,-10.626701398706484
-0.00013347726347984277,-17.644625580014385
-0.0002050118268640541,-24.621281115111973
-0.0002766631178559484,-31.47679814804696
-0.00034778426510529933,-38.11796673856826
-0.00041729262589026354,-44.42328304731316
-0.0004834331690927935,-50.23143826425208
-0.0005440782940404019,-55.37783322513854
-0.0005969399678576857,-59.71506334923246
-0.0006396465839192957,-63.113715844288656
