Desplacment,Force
0.0,0.0
-5.771072201023692e-07,-0.05771071683869009
-1.7440765716685057e-06,-0.17440751442635763
-2.5314254950575134e-06,-0.25314211304468665
-2.44217639086314e-06,-0.24421720262524926
-1.6811899744875366e-06,-0.16811856098768893
-9.481148081756268e-07,-0.09481104435649795
-9.498097922856657e-07,-0.09498054264429587
-1.8485423817252826e-06,-0.1848536546870214
-3.1489482487019406e-06,-0.31489357121451406
-3.947511662299757e-06,-0.3947490976255034
-3.336071912023917e-06,-0.3336051225979194
-7.977322303419488e-07,-0.07977115442972256
3.557757117663479e-06,0.3557765923237946
9.063070147771361e-06,0.9062890775925787
1.500204806601789e-05,1.5001160599027619
2.097905719590061e-05,2.097659414662644
2.6929752785049468e-05,2.692452026083547
3.2868850977812574e-05,3.2859320890849117
3.865277699310452e-05,3.863726768503023
4.3939343083291615e-05,4.391655358447155
4.806729258968447e-05,4.80374551012774
5.03254717095829e-05,5.029122775719342
5.0361276165251435e-05,5.032695906796884
4.849434488879699e-05,4.84600277915144
4.5525795358022046e-05,4.549147826073945
4.226077880186721e-05,4.222646170458461
3.9398081134881783e-05,3.9363764037599185
3.729116615148298e-05,3.7256849054200383
3.5985821010339034e-05,3.5951503913056437
3.530581352907324e-05,3.5271496431790648
3.475088267643817e-05,3.4716565579155576
3.352120927347049e-05,3.3486892176187895
3.087935192682205e-05,3.0845034829539455
2.647880652230716e-05,2.644448942502457
2.0349919405559333e-05,2.031560230827674
1.2910689945990382e-05,1.287637284870779
4.59153172962524e-06,0.45572146323426493
-4.309666744315523e-06,-0.43439612338102807
-1.3500972085494649e-05,-1.3534621333639656
-2.2612995881828832e-05,-2.264418716941909
-3.097980026104433e-05,-3.100609201047134
-3.780972622735674e-05,-3.7829465621167238
-4.26193310155487e-05,-4.263277918284662
-4.5826641122589274e-05,-4.583502147043295
-4.830410642654961e-05,-4.830805476444513
-5.102315095324418e-05,-5.102168431267401
-5.475703026466811e-05,-5.474713093421516
-5.9682488449537824e-05,-5.965957173221329
-6.614541566624036e-05,-6.610185432937797
-7.476894482066047e-05,-7.469084672494479
-8.604429672487092e-05,-8.590742144952404
-9.977439864959651e-05,-9.954207073720935
-0.00011447955261092219,-11.411157303589347
-0.0001274728583415129,-12.695239348482453
-0.00013604724020110242,-13.540766466909922
-0.00013865709373830394,-13.79781664232031
-0.00013527294090181265,-13.459401358671181
-0.0001271404348999169,-12.646150758481607
-0.00011618195399276179,-11.550302667766097
-0.00010455376037633076,-10.387483306122993
-9.356816555922605e-05,-9.288923824412523
-8.362312332379913e-05,-8.29441960086983
-7.476658022447283e-05,-7.4087652909372
-6.728365572219169e-05,-6.660472840709086
-6.223897354956103e-05,-6.15600462344602
-6.108086032802475e-05,-6.040193301292392
-6.471734912166705e-05,-6.402706472992565
-7.25749119545106e-05,-7.185533647004264
-8.263939854509559e-05,-8.187178655254177
-9.223539487180778e-05,-9.140961159929088
-9.873429333877008e-05,-9.786153656045842
-0.00010037952301425542,-9.949384192036726
-9.668180706059806e-05,-9.579612596670989
-8.831458110204988e-05,-8.742890000816171
-7.631850433030358e-05,-7.543282323641541
-6.125118389045065e-05,-6.0365502796562485
-4.354244935015652e-05,-4.265676825626836
-2.392700663592438e-05,-2.3041325542036217
-2.8595766612780738e-06,-0.1973895567389908
2.0057780842981885e-05,2.094099054358831
4.505504827188187e-05,4.591462239981038
7.1724198608551e-05,7.250695313391015
9.935804818057526e-05,9.997338783774785
0.0001273371594593068,12.765836218105164
0.0001557001383371923,15.556063644978572
0.00018505236786494012,18.422734282189047
0.00021591311311075156,21.409830498382703
0.0002480038518942599,24.48236971414495
0.0002798907406211114,27.497130032844264
0.00030929752140843584,30.24004588863645
0.00033374643796750547,32.49097658421486
0.0003512780425362389,34.087554904474594
0.00036136665809858855,34.999426829897764
0.00036499288528424377,35.32593246857187
0.00036404937912506643,35.23158185265413
0.00036048469132217794,34.87511307236528
0.00035568343420407957,34.39498736055544
0.0003503779881778115,33.864442757928636
0.0003449901020257297,33.32565414272046
0.0003403616138356052,32.862805323708
0.00033727871699438475,32.554515639585965
0.00033615430898527136,32.44207483867462
0.0003370607498341428,32.52501583672811
0.0003397697522289256,32.772659913329505
0.00034387672558142856,33.147425414070106
0.0003487048052131257,33.586944325606304
0.00035378094265540853,34.04781080830188
0.0003588376045391449,34.50563800517943
0.00036362454722042864,34.93786396204694
0.00036781503637384053,35.31528267819711
0.00037028049454135634,35.53691718152505
0.00036918493642774545,35.42736137016395
0.0003625858294340458,34.76745067079399
0.0003493215956270118,33.44102729009059
0.0003294066051311916,31.44952824050857
0.0003039060509511887,28.89947282250828
0.0002744759126524057,25.95645899262998
0.00024269982722643658,22.77885045003307
0.00020963543345310222,19.472411072699632
0.00017569257728170974,16.078125455560386
0.00014105596502452593,12.614464229842003
0.0001060902371297013,9.11789144035954
7.098950015638351e-05,5.607817743027759
3.493834471396805e-05,2.002702198786214
-2.5182086197208576e-06,-1.742791845945936
-4.120308058712403e-05,-5.606565911229141
-8.06944694671254e-05,-9.53679033169839
-0.00012112715214741893,-13.535832094042512
-0.00016307450591112468,-17.64728901722147
-0.0002071894508673168,-21.918258188534196
-0.00025364155770040596,-26.343785794204347
-0.0003014448770114001,-30.807649836194244
-0.0003488467782155732,-35.13076030649099
-0.00039359848287723103,-39.107504697075754
-0.00043306574573659655,-42.523431103624205
-0.00046367342710819734,-45.11030718169607
-0.0004830085849749633,-46.7153970360859
-0.0004902988358304439,-47.31462789844431
-0.0004856058604791599,-46.8453303633159
-0.00046906488517147816,-45.19123283254773
-0.00043942666607428544,-42.227410922828454
-0.0003943802231762689,-37.7227666330268
-0.0003324015395567118,-31.524898271071084
-0.00025473101965642933,-23.757846281042838
-0.00016608088897514944,-14.892833212914853
-7.367907103522674e-05,-5.652651418922584
1.4847694385381548e-05,3.1987647952659497
9.367582531097637e-05,11.045502247589289
0.00016000670616594877,17.566215734918455
0.0002137578398006145,22.763000557336273
0.0002564934684749942,26.82326705601463
0.0002901516121635385,29.969215268900168
0.0003158862380617837,32.34058104981064
0.000333873633981177,33.97942484684361
0.0003451996577167369,35.003151079170074
0.0003536327548442532,35.76117304445833
0.000363179299051092,36.61484744535207
0.0003762323919766823,37.77432236092422
0.00039345586678050015,39.29019735860955
0.00041457053471511464,41.12612891392715
0.0004391604541095405,43.23213863399825
0.0004673892262203572,45.605821510863116
0.0004999090280763235,48.28014792057834
0.000537269704819642,51.27053515983554
0.0005790452958692277,54.50743461277202
0.0006233237136229018,57.81217851886492
0.0006670556138716846,60.94663999946613
0.0007066304802014156,63.67120635646998
0.0007379859105944842,65.75417826592023
0.0007560717396258291,66.92523120896477
0.0007568974119075675,66.97816331652528
0.0007380313272307023,65.09155484883875
0.000698145553749845,61.10297750075303
0.000636092996193779,54.89772174514644
0.0005505843094757157,46.34685307334011
