Desplacment,Force
0.0,0.0
1.190653142377506e-06,0.11906529166027958
3.6390763914418772e-06,0.3639069945414066
5.397064343537224e-06,0.539704331590861
5.400373745486188e-06,0.5400352679152459
3.918740639095957e-06,0.39187195727622287
2.207941835391139e-06,0.22079207690574107
1.641420229887901e-06,0.1641399163554173
2.682744371800501e-06,0.26827213144387074
4.6595638546083736e-06,0.4659529848222167
6.173020277271973e-06,0.6172968339057732
5.765179143488132e-06,0.5765127205273891
2.5896332393057337e-06,0.25895813010914936
-3.163814303414281e-06,-0.31638622630068514
-1.0364079865664803e-05,-1.036398315585173
-1.786860858604104e-05,-1.786789769697838
-2.5178030898204936e-05,-2.5175948367995797
-3.2421887931610705e-05,-3.241738226571769
-3.9870840471128765e-05,-3.9862417011081566
-4.749961114217161e-05,-4.748533390069935
-5.492305382962086e-05,-5.4900956308200195
-6.1105937412487e-05,-6.107548940511914
-6.481060372037612e-05,-6.477426800434988
-6.5319847814233e-05,-6.5282648004571
-6.302688407646266e-05,-6.298968426680067
-5.90963988862275e-05,-5.90591990765655
-5.462355835004609e-05,-5.45863585403841
-5.057358485690219e-05,-5.053638504724019
-4.7431287646116866e-05,-4.739408783645486
-4.534612850892342e-05,-4.530892869926142
-4.42902195748692e-05,-4.42530197652072
-4.375528919256201e-05,-4.371808938290002
-4.265313114364686e-05,-4.261593133398486
-3.989656861581871e-05,-3.9859368806156716
-3.496293639668441e-05,-3.492573658702242
-2.7842376469138692e-05,-2.78051766594767
-1.9115344897135092e-05,-1.9078145087473102
-9.276015723069689e-06,-0.9238815913407701
1.4909205222385716e-06,0.15281186478676953
1.3017777160114741e-05,1.3054678083350326
2.4970615780941408e-05,2.500572238372952
3.637021771861481e-05,3.640096223050627
4.586571261184173e-05,4.588997755186961
5.2516830569616945e-05,5.253462175596593
5.693622657803176e-05,5.694870055770393
6.038723967113425e-05,6.039494520565698
6.414682213487371e-05,6.414867575673405
6.903382831716841e-05,6.902698296444701
7.473623826844692e-05,7.471756669336819
8.151206589633667e-05,8.147680080614458
9.055331813415301e-05,9.04912062783641
0.00010327810642064413,10.316805285833908
0.00012023592184800437,12.004095398304726
0.00013977407096298737,13.944688965940733
0.00015789068454608824,15.740317608761407
0.0001702638672613038,16.964355741016924
0.00017434225918196348,17.367373443339744
0.00016995833576748153,16.928981101891548
0.00015896033757159276,15.82918128230267
0.0001442650343545556,14.359650960598955
0.00012924876748339083,12.858024273482478
0.00011572865337282042,11.506012862425438
