Desplacment,Force
0.0,0.0
-3.2366603115371185e-07,-0.03236660228638717
-1.0605942723510257e-06,-0.10605939806738239
-1.8012824504907337e-06,-0.18012810215973454
-2.2716571615039682e-06,-0.22716542954623928
-2.3696673760458056e-06,-0.23696641228048573
-2.091271052048951e-06,-0.2091267798808003
-1.40831143781323e-06,-0.14083081845722817
-1.3997679068669214e-07,-0.013997353744574396
2.0005311799585104e-06,0.2000532480197485
5.270607399753759e-06,0.5270574861491539
9.77784397570026e-06,0.9777618688243365
1.541268168637612e-05,1.5411789870931485
2.184568370093644e-05,2.184313843153811
2.8605094210881082e-05,2.8599376393560747
3.5298810696557736e-05,3.5288064868869022
4.1727368433080826e-05,4.170961797559381
4.783577819175258e-05,4.780903827507796
5.358395926144564e-05,5.354638031057764
5.8870531726776396e-05,5.882070465584732
6.357213386941095e-05,6.350939998847988
6.750225032810986e-05,6.742715850097106
7.049741713200942e-05,7.04118896635346
7.251163179061571e-05,7.241856974467641
7.366216128360502e-05,7.356460357822835
7.408095880726894e-05,7.398172946343184
7.370787170859503e-05,7.360864236475793
7.235404799644328e-05,7.225481865260618
6.973705967725579e-05,6.963783033341868
6.564748632933584e-05,6.554825698549874
6.007868246440727e-05,5.997945312057017
5.316459016464778e-05,5.306536082081068
4.508027794787032e-05,4.498104860403322
3.605477897857853e-05,3.595554963474143
2.6383690740280255e-05,2.628446139644315
1.6343030719197313e-05,1.624380137536021
6.211774613456084e-06,0.6112545269618977
-3.8536245318815165e-06,-0.3952834620368246
-1.3836370247915346e-05,-1.3934933418379636
-2.378584241023711e-05,-2.388173546699015
-3.3805664838864875e-05,-3.389536190794363
-4.3955625648953376e-05,-4.4033954452272
-5.428832560975477e-05,-5.434824668182626
-6.49447105876457e-05,-6.497673394911641
-7.632441918097988e-05,-7.631469526581364
-8.876959307084721e-05,-8.869761512109568
-0.00010237137900183369,-10.220835475942309
-0.00011686603849628877,-11.65756211943859
-0.00013150130695961543,-13.104617562111168
-0.00014553489159798967,-14.488371362661288
-0.0001584448911902216,-15.757708342984385
-0.00016992680316564812,-16.88346657576292
-0.00017979987005623782,-17.8489372120126
-0.00018777553112444325,-18.627051415386934
-0.00019336922104886523,-19.171772350831407
-0.0001962075289257107,-19.447844874448403
-0.00019629845613247331,-19.456685379911246
-0.00019400212868651783,-19.227052635315697
-0.00018989029941405872,-18.815869708069783
-0.00018458904239919622,-18.285744006583535
-0.00017879493520560574,-17.706333287224485
-0.00017292245606454179,-17.11908537311809
-0.00016713053512746196,-16.539893279410105
-0.0001615096090008095,-15.97780066674486
-0.00015619612825515825,-15.446452592179737
-0.0001515197320367485,-14.978812970338762
-0.0001478269019732889,-14.609529963992804
-0.00014519319685834533,-14.346159452498446
-0.00014316562266862838,-14.143402033526751
-0.00014090664257657162,-13.917504024321074
-0.00013753639327647267,-13.580479094311181
-0.00013227344075922485,-13.054183842586397
-0.0001245678953506432,-12.283629301728233
-0.00011407542206378398,-11.234381973042312
-0.00010055520781525558,-9.882360548189471
-8.361495245194845e-05,-8.18833501185876
-6.253699716053643e-05,-6.080539482717558
-3.672546253603835e-05,-3.49938602026775
-6.12880847830143e-06,-0.43972061449405775
2.8973953007650034e-05,3.0698502992662657
6.835076899382941e-05,6.999820832986863
0.00011149182240593878,11.286948828225666
0.00015753852283700184,15.828894420247249
0.00020547463890438903,20.505750328252002
0.0002542060326792119,25.191600204679688
0.00030274009575439423,29.775568046067416
0.00035017444798948885,34.163147393656274
0.00039560081828533583,38.26891077346864
0.0004380899815734039,42.016270980128816
0.00047677911536248035,45.34490138548356
0.0005110535972700834,48.22370372179121
0.0005406023880441023,50.65077281325172
0.0005653245698919704,52.641328349106274
0.0005853848310409646,54.229167295198955
0.0006011084976410647,55.45638272779992
0.0006128679893656116,56.36412823793964
0.0006210308114788505,56.98913796133792
0.0006259896469357337,57.36677651064117
0.0006282387407163922,57.537543868780105
0.0006284277367812131,57.55187924801786
0.0006275929744210777,57.46840301200433
0.0006268065261845216,57.389758188348715
0.0006268929747627382,57.3963263550579
0.0006282837472654657,57.50192919780561
0.0006309354293141715,57.70293545408527
0.0006343937694660118,57.96442047470109
0.0006377850039367987,58.22009568041387
0.0006401384061762543,58.39709675764121
0.0006404838839343355,58.42305078522768
0.0006379026654230869,58.164928934102825
0.0006316717560445131,57.54183799624545
0.000621025809098175,56.477243301611644
0.0006052064704968821,54.89530944148234
0.0005836550530187764,52.74016769367177
0.0005562811402484238,50.002776416636515
0.0005234737644644865,46.72203883824278
0.00048590099440853847,42.96476183264798
0.00044422971177746594,38.79763356954072
0.0003988456948918832,34.25923188098245
0.00034976863087206154,29.35152547900029
0.0002967727137102168,24.051933762815814
0.00023976937644001057,18.35160003579519
0.00017912167165683518,12.286829557477652
0.00011547176240454208,5.921838632248342
4.916308781898747e-05,-0.7089656251890621
-1.9280024340953256e-05,-7.542032679170474
-8.918945948801044e-05,-14.466792306257851
-0.0001599355449900677,-21.369383390449816
-0.0002311675228203462,-28.165505059707584
-0.00030255013857543553,-34.77778696022638
-0.0003734731979200332,-41.113436647379594
-0.0004428027957572686,-47.051203289481705
-0.0005086715445705525,-52.43715866283985
-0.0005688276156580913,-57.12558009730746
-0.000620872823158382,-60.99796725745882
-0.0006623405629808788,-63.9588768144301
-0.0006902746826186727,-65.89069758804328
-0.0007022087950897843,-66.70057652107567
-0.000696568598054707,-66.13655681756795
-0.0006727877324693798,-63.758470259035235
-0.0006315070361533057,-59.63040062742782
-0.0005740171521228182,-53.881412224379055
-0.0005019880456814509,-46.678501580242326
-0.0004176374842429015,-38.24344543638738
-0.00032392892781637903,-28.872589793735145
-0.00022441937707620832,-18.92163471971807
-0.00012276667961831858,-8.756364973929099
-2.2122592749865904e-05,1.3077967093897391
7.527082038069937e-05,11.01338469368411
0.0001680608044277738,20.12016697297933
0.0002553155868092018,28.46063355323221
0.00033613766536694516,35.92177058340157
0.00040957771931634905,42.43364289300772
0.0004746806192013766,47.96499867138281
0.0005306937244055134,52.527740552107595
0.0005779437289511936,56.22836543545684
0.00061864336203417,59.30386423179578
0.0006557269218445068,62.014126148410725
0.0006919860575453028,64.57841500976987
0.000729733861928162,67.15743506838831
0.0007705746101274916,69.84362547362154
0.0008152054451241171,72.65577255245114
0.0008634772643127364,75.55367813338793
0.0009144379661202161,78.45349672621364
0.0009664241036695141,81.24651478045548
0.0010170023713999853,83.8081851528885
0.0010628150670181178,86.00005709384891
0.0010997458947194592,87.6809103418711
0.0011232912475970587,88.71353721524578
0.0011288734130884643,88.9539806791727
0.0011118958783660918,87.25622720693545
0.0010691939284440315,82.98603221472942
0.0009994145267691826,76.00809204724453
0.0009026430046034388,66.33093983067015
0.0007797556248685341,54.04220185717968
0.0006319963610206722,39.2662754723935
0.0004611710731077523,22.1837466811015
0.00027008506853124875,3.0751462234511475
6.301628926837013e-05,-17.482522825024514
-0.0001543778592833326,-37.866983141173485
-0.0003756467101406761,-56.221031470189835
-0.0005946387463789853,-71.39780561947308
-0.0008059592092501416,-83.14729981089836
-0.0010049459145027664,-91.84144157211189
-0.0011882727993051557,-98.12209093727749
-0.0013537749673628427,-102.62119019314574
-0.0015005887254314573,-105.85500994163357
-0.0016292028758816872,-108.20917393135134
-0.0017411690190899953,-109.95650723801123
-0.0018384408539792417,-111.28177090503999
-0.0019228034791962598,-112.30636424812214
-0.001995589045734017,-113.10882307600994
-0.002057626939778887,-113.73972127748651
-0.0021094426881572634,-114.23280187648128
-0.002151316804763392,-114.61057710438037
-0.0021831431704299,-114.8861449401182
-0.0022041314427005765,-115.06268394970502
-0.0022126649598498585,-115.13332210158832
-0.00220671078866206,-114.53790498280846
-0.0021845283020254496,-112.31965631914743
-0.0021451211379422933,-108.37893991083179
-0.00208780893555999,-102.6477196726015
-0.0020114774136818455,-95.01456748478701
-0.001914261730014968,-85.29299911809926
-0.0017936756150277726,-73.23438761937973
-0.0016469887656622986,-58.56570268283233
-0.001471312777372862,-40.99810385388868
-0.0012656887309647684,-20.435699213079317
-0.001031357966194836,2.9916273871433816
-0.0007707328728119242,28.25835621090354
-0.0004862305554332386,52.56885899454083
-0.00018035332757198363,73.19481097289271
0.00014319536924253383,88.74273336100649
0.0004785495813245735,99.38440138652267
0.0008176885600079095,106.25123015029011
0.0011515079367104971,110.59911862248046
0.001471357892162616,113.41669756127618
0.001770018921428351,115.33761851883523
0.0020421504550059517,116.72557206970734
0.002283798619053237,117.77586477780672
0.0024916796669016725,118.58891634064074
0.00266288925205506,119.2146907079042
0.0027946730846138213,119.67632308230344
0.0028845214162062775,119.98310993901728
0.0029294014536081973,120.13428748881726
0.0029273370968023707,119.4547847310691
0.002878320551261694,114.55313017700142
0.0027851843622107813,105.23951127191016
0.002653684007388111,92.08947578964312
0.0024922032464086137,75.94139969169339
0.0023108029085749356,57.80136590832558
