Generation,Fitness
0.0,92.55292088706298
1.0,197.5588058448647
2.0,197.5588058448647
3.0,197.65990956155545
4.0,197.8915873006595
5.0,197.99984740558344
6.0,198.09920324063935
7.0,198.32484278964412
8.0,198.45559249647587
