Desplacment,Force
0.0,0.0
4.965356123182199e-08,0.004965356121975943
-3.552015694351621e-07,-0.03552015650685074
-2.2939666108568134e-06,-0.22939654214486638
-6.572761711306131e-06,-0.6572733732544426
-1.3301856613402484e-05,-1.3301624705681334
-2.189320590361377e-05,-2.1892171974964287
-3.1390834263531205e-05,-3.138778675957041
-4.091314753768349e-05,-4.0906400891462225
-4.990119996367573e-05,-4.9888959749233734
-5.8129667797665404e-05,-5.8110321291845155
-6.556331451626642e-05,-6.553555939923562
-7.216468678578091e-05,-7.212767956693253
-7.777447321505645e-05,-7.772815210144336
-8.217927033089465e-05,-8.212462949560473
-8.537163363756078e-05,-8.531037843628976
-8.771215516773308e-05,-8.76457258005377
-8.984921378246681e-05,-8.977781290586325
-9.246015946839755e-05,-9.23823559133957
-9.598755858610691e-05,-9.59005133090355
-0.00010046980123008293,-10.036999435849077
-0.00010544188970807858,-10.53265339634118
-0.00011008484125675787,-10.995358217931733
-0.00011351941488708249,-11.337549638696945
-0.00011505721097701302,-11.490737050198106
-0.00011422302118967543,-11.407318071464346
-0.00011068472328617267,-11.053488281114069
-0.00010432313632343161,-10.417329584839964
-9.527328969196239e-05,-9.51234492169304
-8.398431221279784e-05,-8.383447173776585
-7.115840419211642e-05,-7.100856371708445
-5.7511273806188794e-05,-5.736143333115682
-4.357219003038723e-05,-4.342234955535525
-2.967147961409654e-05,-2.952163913906456
-1.5971351665098354e-05,-1.582151119006637
-2.416838447556396e-06,-0.22669979725244135
1.1308093080389519e-05,1.145778747740121
2.5891209465628317e-05,2.6039311417672466
4.230966347220964e-05,4.24519629993827
6.153531789503785e-05,6.166203863183148
8.419001710014262e-05,8.428078789317235
0.00011023615080661597,11.025363874257442
0.0001389671823453405,13.885232830002272
0.00016926588708903283,16.893823588999986
0.00019990208824008599,19.926681686940306
0.00022944595142350508,22.841077790798007
0.00025623625508042924,25.473858432039105
0.0002785178181466901,27.655525268893665
0.00029481357684365433,29.246116458450906
0.0003047266683737941,30.211538009022878
0.00030927210177037677,30.65364380104123
0.0003105504756426682,30.777917908402905
0.00031095416585025546,30.817155709087086
0.00031225244885619863,30.943326404413305
0.0003151630808981146,31.226080661919543
